yr,natality,raceEth,type,,
2006,103725,black,BRIDGED,,
2007,106143,black,BRIDGED,,
2008,104559,black,BRIDGED,,
2009,98448,black,BRIDGED,,
2010,88329,black,BRIDGED,,
2011,78558,black,BRIDGED,,
2012,71286,black,BRIDGED,,
2013,62066,black,BRIDGED,,
2014,54819,black,BRIDGED,,
2015,50039,black,BRIDGED,,
2016,45943,black,BRIDGED,,
2017,43210,black,BRIDGED,,
2018,40604,black,BRIDGED,,
2019,39657,black,BRIDGED,,
2020,34147,black,SINGLE,,
2021,31231,black,SINGLE,,
2022,29194,black,SINGLE,,
2006,145669,hispanic,BRIDGED,,
2007,148563,hispanic,BRIDGED,,
2008,144914,hispanic,BRIDGED,,
2009,136263,hispanic,BRIDGED,,
2010,121798,hispanic,BRIDGED,,
2011,109660,hispanic,BRIDGED,,
2012,102722,hispanic,BRIDGED,,
2013,92960,hispanic,BRIDGED,,
2014,85970,hispanic,BRIDGED,,
2015,80364,hispanic,BRIDGED,,
2016,74822,hispanic,BRIDGED,,
2017,69354,hispanic,BRIDGED,,
2018,65122,hispanic,BRIDGED,,
2019,62654,hispanic,BRIDGED,,
2020,58752,hispanic,SINGLE,,
2021,55263,hispanic,SINGLE,,
2022,56566,hispanic,SINGLE,,
2006,169729,white,BRIDGED,,
2007,172941,white,BRIDGED,,
2008,168684,white,BRIDGED,,
2009,159579,white,BRIDGED,,
2010,144102,white,BRIDGED,,
2011,129329,white,BRIDGED,,
2012,119757,white,BRIDGED,,
2013,107886,white,BRIDGED,,
2014,99220,white,BRIDGED,,
2015,90833,white,BRIDGED,,
2016,81223,white,BRIDGED,,
2017,74779,white,BRIDGED,,
2018,67750,white,BRIDGED,,
2019,63107,white,BRIDGED,,
2020,54426,white,SINGLE,,
2021,50203,white,SINGLE,,
2022,48060,white,SINGLE,,
2023,44922,white,SINGLE,,
2023,28414,black,SINGLE,,
2023,57914,hispanic,SINGLE,,
2024,43658,white,SINGLE,,
2024,26832,black,SINGLE,,
2024,57910,hispanic,SINGLE,,
