State,State Code,Year,Year Code,Births
Alabama,01,2007,2007,8696
Alabama,01,2008,2008,8559
Alabama,01,2009,2009,8205
Alabama,01,2010,2010,7343
Alabama,01,2011,2011,6609
Alabama,01,2012,2012,6195
Alabama,01,2013,2013,5392
Alabama,01,2014,2014,5009
Alabama,01,2015,2015,4739
Alabama,01,2016,2016,4480
Alabama,01,2017,2017,4241
Alabama,01,2018,2018,3924
Alabama,01,2019,2019,3955
Alabama,01,2020,2020,3788
Alabama,01,2021,2021,3641
Alabama,01,2022,2022,3445
Alabama,01,2023,2023,3417
Alaska,02,2007,2007,1117
Alaska,02,2008,2008,1135
Alaska,02,2009,2009,1106
Alaska,02,2010,2010,956
Alaska,02,2011,2011,880
Alaska,02,2012,2012,817
Alaska,02,2013,2013,708
Alaska,02,2014,2014,645
Alaska,02,2015,2015,662
Alaska,02,2016,2016,583
Alaska,02,2017,2017,486
Alaska,02,2018,2018,423
Alaska,02,2019,2019,393
Alaska,02,2020,2020,378
Alaska,02,2021,2021,378
Alaska,02,2022,2022,357
Alaska,02,2023,2023,342
Arizona,04,2007,2007,12868
Arizona,04,2008,2008,12051
Arizona,04,2009,2009,10874
Arizona,04,2010,2010,9389
Arizona,04,2011,2011,8402
Arizona,04,2012,2012,8119
Arizona,04,2013,2013,7232
Arizona,04,2014,2014,6622
Arizona,04,2015,2015,5910
Arizona,04,2016,2016,5357
Arizona,04,2017,2017,5025
Arizona,04,2018,2018,4650
Arizona,04,2019,2019,4318
Arizona,04,2020,2020,3916
Arizona,04,2021,2021,3551
Arizona,04,2022,2022,3558
Arizona,04,2023,2023,3461
Arkansas,05,2007,2007,5926
Arkansas,05,2008,2008,5940
Arkansas,05,2009,2009,5753
Arkansas,05,2010,2010,5229
Arkansas,05,2011,2011,4845
Arkansas,05,2012,2012,4349
Arkansas,05,2013,2013,4155
Arkansas,05,2014,2014,3782
Arkansas,05,2015,2015,3677
Arkansas,05,2016,2016,3372
Arkansas,05,2017,2017,3178
Arkansas,05,2018,2018,2928
Arkansas,05,2019,2019,2882
Arkansas,05,2020,2020,2676
Arkansas,05,2021,2021,2609
Arkansas,05,2022,2022,2440
Arkansas,05,2023,2023,2436
California,06,2007,2007,53417
California,06,2008,2008,51730
California,06,2009,2009,47831
California,06,2010,2010,43149
California,06,2011,2011,38303
California,06,2012,2012,34890
California,06,2013,2013,30505
California,06,2014,2014,27025
California,06,2015,2015,24175
California,06,2016,2016,21412
California,06,2017,2017,18935
California,06,2018,2018,16929
California,06,2019,2019,15356
California,06,2020,2020,13591
California,06,2021,2021,12480
California,06,2022,2022,12279
California,06,2023,2023,11578
Colorado,08,2007,2007,6737
Colorado,08,2008,2008,6638
Colorado,08,2009,2009,6203
Colorado,08,2010,2010,5474
Colorado,08,2011,2011,4734
Colorado,08,2012,2012,4154
Colorado,08,2013,2013,3834
Colorado,08,2014,2014,3377
Colorado,08,2015,2015,3270
Colorado,08,2016,2016,3068
Colorado,08,2017,2017,2790
Colorado,08,2018,2018,2522
Colorado,08,2019,2019,2471
Colorado,08,2020,2020,2223
Colorado,08,2021,2021,2059
Colorado,08,2022,2022,2004
Colorado,08,2023,2023,1999
Connecticut,09,2007,2007,2837
Connecticut,09,2008,2008,2789
Connecticut,09,2009,2009,2605
Connecticut,09,2010,2010,2274
Connecticut,09,2011,2011,2020
Connecticut,09,2012,2012,1889
Connecticut,09,2013,2013,1606
Connecticut,09,2014,2014,1420
Connecticut,09,2015,2015,1241
Connecticut,09,2016,2016,1136
Connecticut,09,2017,2017,1053
Connecticut,09,2018,2018,988
Connecticut,09,2019,2019,902
Connecticut,09,2020,2020,882
Connecticut,09,2021,2021,845
Connecticut,09,2022,2022,784
Connecticut,09,2023,2023,799
Delaware,10,2007,2007,1244
Delaware,10,2008,2008,1237
Delaware,10,2009,2009,1081
Delaware,10,2010,2010,974
Delaware,10,2011,2011,900
Delaware,10,2012,2012,761
Delaware,10,2013,2013,728
Delaware,10,2014,2014,616
Delaware,10,2015,2015,540
Delaware,10,2016,2016,583
Delaware,10,2017,2017,552
Delaware,10,2018,2018,497
Delaware,10,2019,2019,444
Delaware,10,2020,2020,439
Delaware,10,2021,2021,425
Delaware,10,2022,2022,466
Delaware,10,2023,2023,444
District of Columbia,11,2007,2007,1053
District of Columbia,11,2008,2008,1083
District of Columbia,11,2009,2009,1034
District of Columbia,11,2010,2010,951
District of Columbia,11,2011,2011,879
District of Columbia,11,2012,2012,791
District of Columbia,11,2013,2013,637
District of Columbia,11,2014,2014,565
District of Columbia,11,2015,2015,501
District of Columbia,11,2016,2016,460
District of Columbia,11,2017,2017,408
District of Columbia,11,2018,2018,373
District of Columbia,11,2019,2019,323
District of Columbia,11,2020,2020,301
District of Columbia,11,2021,2021,261
District of Columbia,11,2022,2022,240
District of Columbia,11,2023,2023,243
Florida,12,2007,2007,25693
Florida,12,2008,2008,24077
Florida,12,2009,2009,22021
Florida,12,2010,2010,19127
Florida,12,2011,2011,17125
Florida,12,2012,2012,15952
Florida,12,2013,2013,13962
Florida,12,2014,2014,12816
Florida,12,2015,2015,11957
Florida,12,2016,2016,11195
Florida,12,2017,2017,10708
Florida,12,2018,2018,9829
Florida,12,2019,2019,9541
Florida,12,2020,2020,8920
Florida,12,2021,2021,8093
Florida,12,2022,2022,8139
Florida,12,2023,2023,8108
Georgia,13,2007,2007,18085
Georgia,13,2008,2008,17273
Georgia,13,2009,2009,16345
Georgia,13,2010,2010,14378
Georgia,13,2011,2011,12991
Georgia,13,2012,2012,11488
Georgia,13,2013,2013,10322
Georgia,13,2014,2014,9661
Georgia,13,2015,2015,8829
Georgia,13,2016,2016,8248
