State of Residence,State of Residence Code,births_dec23,births_jan_nov24,births
Alabama,01,290,3018,3308
Alaska,02,24,291,315
Arizona,04,312,3117,3429
Arkansas,05,182,2071,2253
California,06,1006,10196,11202
Colorado,08,161,1883,2044
Connecticut,09,83,717,800
Delaware,10,33,400,433
District of Columbia,11,22,231,253
Florida,12,681,7137,7818
Georgia,13,597,5546,6143
Hawaii,15,29,381,410
Idaho,16,83,706,789
Illinois,17,377,3895,4272
Indiana,18,330,3194,3524
Iowa,19,141,1235,1376
Kansas,20,144,1390,1534
Kentucky,21,235,2722,2957
Louisiana,22,279,2932,3211
Maine,23,17,284,301
Maryland,24,174,1856,2030
Massachusetts,25,129,1128,1257
Michigan,26,295,3014,3309
Minnesota,27,109,1256,1365
Mississippi,28,214,2197,2411
Missouri,29,262,2903,3165
Montana,30,28,340,368
Nebraska,31,95,877,972
Nevada,32,103,1102,1205
New Hampshire,33,14,169,183
New Jersey,34,192,1934,2126
New Mexico,35,95,1048,1143
New York,36,423,4382,4805
North Carolina,37,474,4710,5184
North Dakota,38,24,296,320
Ohio,39,427,4871,5298
Oklahoma,40,268,2519,2787
Oregon,41,111,995,1106
Pennsylvania,42,346,3723,4069
Rhode Island,44,20,255,275
South Carolina,45,246,2782,3028
South Dakota,46,35,424,459
Tennessee,47,366,4097,4463
Texas,48,1785,18438,20223
Utah,49,107,1068,1175
Vermont,50,13,120,133
Virginia,51,272,2649,2921
Washington,53,211,1991,2202
West Virginia,54,85,855,940
Wisconsin,55,154,1699,1853
Wyoming,56,15,265,280
