yr,pop,raceEth,type
2006,1881931,hispanic,bridged
2007,1973663,hispanic,bridged
2008,2060092,hispanic,bridged
2009,2140836,hispanic,bridged
2010,2192557,hispanic,bridged
2011,2209988,hispanic,bridged
2012,2218245,hispanic,bridged
2013,2235644,hispanic,bridged
2014,2259849,hispanic,bridged
2015,2302383,hispanic,bridged
2016,2350780,hispanic,bridged
2017,2392388,hispanic,bridged
2018,2434953,hispanic,bridged
2019,2473133,hispanic,bridged
2020,2615207,hispanic,single
2021,2610678,hispanic,single
2022,2659027,hispanic,single
2023,2659027,hispanic,single
2024,2659027,hispanic,single
2006,1684338,black,bridged
2006,6433649,white,bridged
2007,1722960,black,bridged
2007,6420708,white,bridged
2008,1747943,black,bridged
2008,6369906,white,bridged
2009,1750530,black,bridged
2009,6275933,white,bridged
2010,1723517,black,bridged
2010,6144242,white,bridged
2011,1678365,black,bridged
2011,6009032,white,bridged
2012,1638524,black,bridged
2012,5905621,white,bridged
2013,1606262,black,bridged
2013,5832767,white,bridged
2014,1580361,black,bridged
2014,5774721,white,bridged
2015,1576996,black,bridged
2015,5741704,white,bridged
2016,1579978,black,bridged
2016,5707868,white,bridged
2017,1572675,black,bridged
2017,5651740,white,bridged
2018,1559290,black,bridged
2018,5603968,white,bridged
2019,1549474,black,bridged
2019,5562027,white,bridged
2020,1475357,black,single
2020,5545763,white,single
2021,1442643,black,single
2021,5406352,white,single
2022,1445513,black,single
2022,5350956,white,single
2023,1445513,black,single
2023,5350956,white,single
2024,1445513,black,single
2024,5350956,white,single
